Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location
NR,44621,ECS,189A,002,M,1.000-5.000,Computer Science Theory,MWF,12:10 pm-01:00 pm,75,0,75,999,0,999,0,0,0,Slobodan Mitrovic (P),01/08-03/15,TBA
 , , , , , , , ,W,06:10 pm-07:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44622,ECS,189E,001,M,1.000-5.000,Software Engineering,MWF,08:00 am-08:50 am,75,0,75,999,0,999,0,0,0,Samuel T. King (P),01/08-03/15,TBA
 , , , , , , , ,F,01:10 pm-02:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21801,ECS,189G,001,M,1.000-5.000,Artificial Intelligence,MWF,05:10 pm-06:00 pm,65,0,65,999,0,999,0,0,0,Jiawei Zhang (P),01/08-03/15,TBA
 , , , , , , , ,F,06:10 pm-07:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44624,ECS,189L,001,M,1.000-5.000,Computer Science,TR,01:40 pm-03:00 pm,75,0,75,999,0,999,0,0,0,Joshua A. Mccoy (P),01/08-03/15,TBA
 , , , , , , , ,T,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21806,ECS,193A,001,M,3.000,Capstone Project,TR,01:40 pm-03:00 pm,99,0,99,999,0,999,0,0,0,Christopher J. Nitta (P),01/08-03/15,TBA
NR,21925,ECS,199FA,002,M,1.000-4.000,Student-Taught Course De, ,TBA,99,0,99,999,0,999,0,0,0,Muhammad Zubair Shafiq (P),01/08-03/15,TBA
